frame.number	eth.dst	eth.src	eth.type	ip.version	ip.hdr_len	ip.dsfield.dscp	ip.dsfield.ecn	ip.len	ip.id	ip.flags.rb	ip.flags.df	ip.flags.mf	ip.frag_offset	ip.ttl	ip.proto	ip.checksum	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.hdr_len	tcp.flags.res	tcp.flags.ns	tcp.flags.cwr	tcp.flags.ecn	tcp.flags.urg	tcp.flags.ack	tcp.flags.push	tcp.flags.reset	tcp.flags.syn	tcp.flags.fin	tcp.window_size_value	tcp.checksum	tcp.urgent_pointer	tcp.options	tcp.payload	udp.srcport	udp.dstport	udp.length	udp.checksum	eth.padding
11	00:0d:88:40:df:1d	00:05:9a:3c:78:00	0x00000800	4	20	0	0	1300	0x0000da8c	0	1	0	0	128	6	0x00000258	131.212.31.167	128.119.245.12	2096	80	20	0	0	0	0	0	1	0	0	0	0	65535	0x000007e4	0		657273656c660d0a66616c6c696e6720646f776e2061207665727920646565702077656c6c2e0d0a0d0a2020456974686572207468652077656c6c20776173207665727920646565702c206f72207368652066656c6c207665727920736c6f776c792c20666f72207368650d0a68616420706c656e7479206f662074696d65206173207368652077656e7420646f776e20746f206c6f6f6b2061626f75742068657220616e6420746f0d0a776f6e64657220776861742077617320676f696e6720746f2068617070656e206e6578742e202046697273742c2073686520747269656420746f206c6f6f6b0d0a646f776e20616e64206d616b65206f75742077686174207368652077617320636f6d696e6720746f2c206275742069742077617320746f6f206461726b20746f0d0a73656520616e797468696e673b207468656e20736865206c6f6f6b656420617420746865207369646573206f66207468652077656c6c2c20616e640d0a6e6f74696365642074686174207468657920776572652066696c6c6564207769746820637570626f6172647320616e6420626f6f6b2d7368656c7665733b0d0a6865726520616e642074686572652073686520736177206d61707320616e642070696374757265732068756e672075706f6e20706567732e20205368650d0a746f6f6b20646f776e2061206a61722066726f6d206f6e65206f6620746865207368656c76657320617320736865207061737365643b206974207761730d0a6c6162656c6c656420604f52414e4745204d41524d414c414445272c2062757420746f20686572206772656174206469736170706f696e746d656e742069740d0a77617320656d7074793a202073686520646964206e6f74206c696b6520746f2064726f7020746865206a617220666f722066656172206f66206b696c6c696e670d0a736f6d65626f64792c20736f206d616e6167656420746f2070757420697420696e746f206f6e65206f662074686520637570626f61726473206173207368650d0a66656c6c20706173742069742e0d0a0d0a20206057656c6c21272074686f7567687420416c69636520746f2068657273656c662c20606166746572207375636820612066616c6c20617320746869732c20490d0a7368616c6c207468696e6b206e6f7468696e67206f662074756d626c696e6720646f776e20737461697273212020486f772062726176652074686579276c6c0d0a616c6c207468696e6b206d6520617420686f6d652120205768792c204920776f756c646e27742073617920616e797468696e672061626f75742069742c0d0a6576656e20696620492066656c6c206f66662074686520746f70206f662074686520686f757365212720285768696368207761732076657279206c696b656c790d0a747275652e290d0a0d0a2020446f776e2c20646f776e2c20646f776e2e2020576f756c64207468652066616c6c204e4556455220636f6d6520746f20616e20656e6421202060490d0a776f6e64657220686f77206d616e79206d696c657320492776652066616c6c656e20627920746869732074696d653f2720736865207361696420616c6f75642e0d0a6049206d7573742062652067657474696e6720736f6d657768657265206e656172207468652063656e747265206f66207468652065617274682e20204c65740d0a6d65207365653a20207468617420776f756c6420626520666f75722074					
12	00:0d:88:40:df:1d	00:05:9a:3c:78:00	0x00000800	4	20	0	0	1300	0x0000da8d	0	1	0	0	128	6	0x00000257	131.212.31.167	128.119.245.12	2096	80	20	0	0	0	0	0	1	0	0	0	0	65535	0x00007876	0		686f7573616e64206d696c657320646f776e2c2049207468696e6b2d2d272028666f722c0d0a796f75207365652c20416c69636520686164206c6561726e74207365766572616c207468696e6773206f66207468697320736f727420696e206865720d0a6c6573736f6e7320696e20746865207363686f6f6c726f6f6d2c20616e642074686f756768207468697320776173206e6f742061205645525920676f6f640d0a6f70706f7274756e69747920666f722073686f77696e67206f666620686572206b6e6f776c656467652c20617320746865726520776173206e6f206f6e6520746f0d0a6c697374656e20746f206865722c207374696c6c2069742077617320676f6f6420707261637469636520746f20736179206974206f7665722920602d2d7965732c0d0a7468617427732061626f7574207468652072696768742064697374616e63652d2d627574207468656e204920776f6e6465722077686174204c617469747564650d0a6f72204c6f6e676974756465204927766520676f7420746f3f27202028416c69636520686164206e6f20696465612077686174204c61746974756465207761732c0d0a6f72204c6f6e676974756465206569746865722c206275742074686f7567687420746865792077657265206e696365206772616e6420776f72647320746f0d0a7361792e290d0a0d0a202050726573656e746c792073686520626567616e20616761696e2e2020604920776f6e6465722069662049207368616c6c2066616c6c2072696768740d0a5448524f55474820746865206561727468212020486f772066756e6e79206974276c6c207365656d20746f20636f6d65206f757420616d6f6e67207468650d0a70656f706c6520746861742077616c6b207769746820746865697220686561647320646f776e7761726421202054686520416e7469706174686965732c20490d0a7468696e6b2d2d272028736865207761732072617468657220676c616420746865726520574153206e6f206f6e65206c697374656e696e672c20746869730d0a74696d652c206173206974206469646e277420736f756e6420617420616c6c2074686520726967687420776f72642920602d2d6275742049207368616c6c0d0a6861766520746f2061736b207468656d207768617420746865206e616d65206f662074686520636f756e7472792069732c20796f75206b6e6f772e0d0a506c656173652c204d6127616d2c2069732074686973204e6577205a65616c616e64206f72204175737472616c69613f272028616e64207368652074726965640d0a746f2063757274736579206173207368652073706f6b652d2d66616e63792043555254534559494e4720617320796f752772652066616c6c696e670d0a7468726f7567682074686520616972212020446f20796f75207468696e6b20796f7520636f756c64206d616e6167652069743f29202060416e6420776861740d0a616e2069676e6f72616e74206c6974746c65206769726c20736865276c6c207468696e6b206d6520666f722061736b696e672120204e6f2c206974276c6c0d0a6e6576657220646f20746f2061736b3a2020706572686170732049207368616c6c20736565206974207772697474656e20757020736f6d6577686572652e270d0a0d0a2020446f776e2c20646f776e2c20646f776e2e2020546865726520776173206e6f7468696e6720656c736520746f20646f2c2073					
13	00:05:9a:3c:78:00	00:0d:88:40:df:1d	0x00000800	4	20	0	0	40	0x0000a78f	0	1	0	0	52	6	0x00008641	128.119.245.12	131.212.31.167	80	2096	20	0	0	0	0	0	1	0	0	0	0	10080	0x00000c63	0							
14	00:0d:88:40:df:1d	00:05:9a:3c:78:00	0x00000800	4	20	0	0	1300	0x0000da8e	0	1	0	0	128	6	0x00000256	131.212.31.167	128.119.245.12	2096	80	20	0	0	0	0	0	1	0	0	0	0	65535	0x000028bf	0		6f20416c69636520736f6f6e0d0a626567616e2074616c6b696e6720616761696e2e20206044696e6168276c6c206d697373206d652076657279206d75636820746f2d6e696768742c20490d0a73686f756c64207468696e6b212720202844696e61682077617320746865206361742e292020604920686f70652074686579276c6c2072656d656d6265720d0a68657220736175636572206f66206d696c6b206174207465612d74696d652e202044696e6168206d79206465617221202049207769736820796f7520776572650d0a646f776e20686572652077697468206d65212020546865726520617265206e6f206d69636520696e20746865206169722c2049276d206166726169642c206275740d0a796f75206d696768742063617463682061206261742c20616e64207468617427732076657279206c696b652061206d6f7573652c20796f75206b6e6f772e0d0a42757420646f20636174732065617420626174732c204920776f6e6465723f272020416e64206865726520416c69636520626567616e20746f206765740d0a72617468657220736c656570792c20616e642077656e74206f6e20736179696e6720746f2068657273656c662c20696e206120647265616d7920736f7274206f660d0a7761792c2060446f20636174732065617420626174733f2020446f20636174732065617420626174733f2720616e6420736f6d6574696d65732c2060446f0d0a626174732065617420636174733f2720666f722c20796f75207365652c2061732073686520636f756c646e277420616e73776572206569746865720d0a7175657374696f6e2c206974206469646e2774206d756368206d61747465722077686963682077617920736865207075742069742e20205368652066656c740d0a74686174207368652077617320646f7a696e67206f66662c20616e6420686164206a75737420626567756e20746f20647265616d2074686174207368650d0a7761732077616c6b696e672068616e6420696e2068616e6420776974682044696e61682c20616e6420736179696e6720746f2068657220766572790d0a6561726e6573746c792c20604e6f772c2044696e61682c2074656c6c206d65207468652074727574683a202064696420796f7520657665722065617420610d0a6261743f27207768656e2073756464656e6c792c207468756d7021207468756d702120646f776e207368652063616d652075706f6e20612068656170206f660d0a737469636b7320616e6420647279206c65617665732c20616e64207468652066616c6c20776173206f7665722e0d0a0d0a2020416c69636520776173206e6f7420612062697420687572742c20616e6420736865206a756d706564207570206f6e20746f20686572206665657420696e20610d0a6d6f6d656e743a2020736865206c6f6f6b65642075702c206275742069742077617320616c6c206461726b206f766572686561643b206265666f7265206865720d0a77617320616e6f74686572206c6f6e6720706173736167652c20616e64207468652057686974652052616262697420776173207374696c6c20696e0d0a73696768742c206875727279696e6720646f776e2069742e2020546865726520776173206e6f742061206d6f6d656e7420746f206265206c6f73743a0d0a617761792077656e7420416c696365206c696b65207468652077696e642c20616e6420776173206a75737420					
15	00:0d:88:40:df:1d	00:05:9a:3c:78:00	0x00000800	4	20	0	0	1300	0x0000da8f	0	1	0	0	128	6	0x00000255	131.212.31.167	128.119.245.12	2096	80	20	0	0	0	0	0	1	0	0	0	0	65535	0x00000ff0	0		696e2074696d6520746f20686561722069740d0a7361792c206173206974207475726e6564206120636f726e65722c20604f68206d79206561727320616e6420776869736b6572732c20686f77206c6174650d0a697427732067657474696e67212720205368652077617320636c6f736520626568696e64206974207768656e20736865207475726e6564207468650d0a636f726e65722c20627574207468652052616262697420776173206e6f206c6f6e67657220746f206265207365656e3a202073686520666f756e640d0a68657273656c6620696e2061206c6f6e672c206c6f772068616c6c2c20776869636820776173206c6974207570206279206120726f77206f66206c616d70730d0a68616e67696e672066726f6d2074686520726f6f662e0d0a0d0a20205468657265207765726520646f6f727320616c6c20726f756e64207468652068616c6c2c206275742074686579207765726520616c6c206c6f636b65643b0d0a616e64207768656e20416c69636520686164206265656e20616c6c207468652077617920646f776e206f6e65207369646520616e64207570207468650d0a6f746865722c20747279696e6720657665727920646f6f722c207368652077616c6b6564207361646c7920646f776e20746865206d6964646c652c0d0a776f6e646572696e6720686f772073686520776173206576657220746f20676574206f757420616761696e2e0d0a0d0a202053756464656e6c79207368652063616d652075706f6e2061206c6974746c652074687265652d6c6567676564207461626c652c20616c6c206d616465206f660d0a736f6c696420676c6173733b20746865726520776173206e6f7468696e67206f6e2069742065786365707420612074696e7920676f6c64656e206b65792c0d0a616e6420416c69636527732066697273742074686f75676874207761732074686174206974206d696768742062656c6f6e6720746f206f6e65206f66207468650d0a646f6f7273206f66207468652068616c6c3b206275742c20616c6173212065697468657220746865206c6f636b73207765726520746f6f206c617267652c206f720d0a746865206b65792077617320746f6f20736d616c6c2c2062757420617420616e79207261746520697420776f756c64206e6f74206f70656e20616e79206f660d0a7468656d2e2020486f77657665722c206f6e20746865207365636f6e642074696d6520726f756e642c207368652063616d652075706f6e2061206c6f770d0a6375727461696e2073686520686164206e6f74206e6f7469636564206265666f72652c20616e6420626568696e64206974207761732061206c6974746c650d0a646f6f722061626f7574206669667465656e20696e6368657320686967683a202073686520747269656420746865206c6974746c6520676f6c64656e206b65790d0a696e20746865206c6f636b2c20616e6420746f206865722067726561742064656c6967687420697420666974746564210d0a0d0a2020416c696365206f70656e65642074686520646f6f7220616e6420666f756e642074686174206974206c656420696e746f206120736d616c6c0d0a706173736167652c206e6f74206d756368206c6172676572207468616e2061207261742d686f6c653a2020736865206b6e656c7420646f776e20616e640d0a6c6f6f6b656420616c6f6e6720746865207061737361676520696e746f					
16	00:05:9a:3c:78:00	00:0d:88:40:df:1d	0x00000800	4	20	0	0	40	0x0000a790	0	1	0	0	52	6	0x00008640	128.119.245.12	131.212.31.167	80	2096	20	0	0	0	0	0	1	0	0	0	0	12600	0x0000fd9e	0							
17	00:0d:88:40:df:1d	00:05:9a:3c:78:00	0x00000800	4	20	0	0	1096	0x0000da90	0	1	0	0	128	6	0x00000320	131.212.31.167	128.119.245.12	2096	80	20	0	0	0	0	0	1	1	0	0	0	65535	0x00002079	0		20746865206c6f76656c696573742067617264656e20796f752065766572207361772e0d0a486f7720736865206c6f6e67656420746f20676574206f7574206f662074686174206461726b2068616c6c2c20616e642077616e6465722061626f75740d0a616d6f6e672074686f73652062656473206f662062726967687420666c6f7765727320616e642074686f736520636f6f6c20666f756e7461696e732c206275740d0a73686520636f756c64206e6f74206576656e206765742068657220686561642074686f7567682074686520646f6f727761793b2060616e64206576656e2069660d0a6d79206865616420776f756c6420676f207468726f7567682c272074686f7567687420706f6f7220416c6963652c2060697420776f756c64206265206f660d0a76657279206c6974746c652075736520776974686f7574206d792073686f756c646572732e20204f682c20686f77204920776973680d0a4920636f756c642073687574207570206c696b6520612074656c6573636f706521202049207468696e6b204920636f756c642c2069662049206f6e6c790d0a6b6e6f7720686f7720746f20626567696e2e272020466f722c20796f75207365652c20736f206d616e79206f75742d6f662d7468652d776179207468696e67730d0a6861642068617070656e6564206c6174656c792c207468617420416c6963652068616420626567756e20746f207468696e6b20746861742076657279206665770d0a7468696e677320696e646565642077657265207265616c6c7920696d706f737369626c652e0d0a0d0a20205468657265207365656d656420746f206265206e6f2075736520696e2077616974696e6720627920746865206c6974746c6520646f6f722c20736f207368650d0a77656e74206261636b20746f20746865207461626c652c2068616c6620686f70696e6720736865206d696768742066696e6420616e6f74686572206b6579206f6e0d0a69742c206f7220617420616e792072617465206120626f6f6b206f662072756c657320666f72207368757474696e672070656f706c65207570206c696b650d0a74656c6573636f7065733a2020746869732074696d652073686520666f756e642061206c6974746c6520626f74746c65206f6e2069742c20286077686963680d0a6365727461696e6c7920776173206e6f742068657265206265666f72652c27207361696420416c6963652c2920616e6420726f756e6420746865206e65636b0d0a6f662074686520626f74746c65207761732061207061706572206c6162656c2c20776974682074686520776f72647320604452494e4b204d45270d0a62656175746966756c6c79207072696e746564206f6e20697420696e206c61726765206c6574746572732e0d0a0d0a202049742077617320616c6c20766572792077656c6c20746f207361792060447269					
18	00:05:9a:3c:78:00	00:0d:88:40:df:1d	0x00000800	4	20	0	0	40	0x0000a791	0	1	0	0	52	6	0x0000863f	128.119.245.12	131.212.31.167	80	2096	20	0	0	0	0	0	1	0	0	0	0	15120	0x0000eeda	0							
19	00:05:9a:3c:78:00	00:0d:88:40:df:1d	0x00000800	4	20	0	0	40	0x0000a792	0	1	0	0	52	6	0x0000863e	128.119.245.12	131.212.31.167	80	2096	20	0	0	0	0	0	1	0	0	0	0	17640	0x0000e016	0							
20	00:05:9a:3c:78:00	00:0d:88:40:df:1d	0x00000800	4	20	0	0	40	0x0000a793	0	1	0	0	52	6	0x0000863d	128.119.245.12	131.212.31.167	80	2096	20	0	0	0	0	0	1	0	0	0	0	20160	0x0000d152	0							
