frame.number	eth.dst	eth.src	eth.type	ip.version	ip.hdr_len	ip.dsfield.dscp	ip.dsfield.ecn	ip.len	ip.id	ip.flags.rb	ip.flags.df	ip.flags.mf	ip.frag_offset	ip.ttl	ip.proto	ip.checksum	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.hdr_len	tcp.flags.res	tcp.flags.ns	tcp.flags.cwr	tcp.flags.ecn	tcp.flags.urg	tcp.flags.ack	tcp.flags.push	tcp.flags.reset	tcp.flags.syn	tcp.flags.fin	tcp.window_size_value	tcp.checksum	tcp.urgent_pointer	tcp.options	tcp.payload	udp.srcport	udp.dstport	udp.length	udp.checksum	eth.padding
29	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	237	0x000091cc	0	1	0	0	63	6	0x0000a007	95.136.242.99	109.0.74.75	65386	443	32	0	0	0	0	0	1	1	0	0	0	229	0x0000836d	0	0101080a000eff520b504604	16030100b4010000b0030152c52cefc74bcad62493b02b05c416a9ec66fcb1ba2b2d00e67e75db07f63f4300004800ffc00ac0140088008700390038c00fc00500840035c009c007c013c0110045004400330032c00ec00cc004c00200960041002f00050004c008c01200160013c00dc003feff000a0100003f000000180016000013686f7473706f742e776966692e7366722e6672000a00080006001700180019000b000201000023000033740000000500050100000000					
30	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	0	0	52	0x000036b8	0	1	0	0	58	6	0x000000d5	109.0.74.75	95.136.242.99	443	65386	32	0	0	0	0	0	1	0	0	0	0	54	0x0000cb5b	0	0101080a0b504608000eff52						
31	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	0	0	1420	0x000036b9	0	1	0	0	58	6	0x0000fb7b	109.0.74.75	95.136.242.99	443	65386	32	0	0	0	0	0	1	0	0	0	0	54	0x0000314b	0	0101080a0b504608000eff52	160301005502000051030152c52cef8380e63ca5b196d8ecb62190e6813a2355089f2e60b4b882eb4c8fa6208d8ccdeebefe5f95a0cd519c766f0e87a0526581350fe3adfe8a7b333fb8569f000500000900000000ff010001001603010cc00b000cbc000cb90003f7308203f3308202dba00302010202107a711a198ce068d6f19f445fe653d2c3300d06092a864886f70d0101050500303c310b300906035504061302555331153013060355040a130c5468617774652c20496e632e311630140603550403130d5468617774652053534c204341301e170d3131313131313030303030305a170d3134303230393233353935395a30818b310b3009060355040613024652310e300c060355040813055041524953310e300c0603550407140550415249533130302e060355040a1427534f4349455445204652414e434149534520445520524144494f54454c4550484f4e452053465231123010060355040b14095046535f4649584553311630140603550403140d2a2e776966692e7366722e667230820122300d06092a864886f70d01010105000382010f003082010a0282010100d05d5f8b579f78efe329dc831f89e87b13609435cca4733a4e9d6f687375c2f34e4fc0575c861dac02f607f504561a1aba84a63155e87775977a5ad2138715c10779eeb24cdda291b4d4cd9a20f1c96479f2599a8b07fb2bac91ec9d32d669cf082d029a7f3f704c872f1d00dba35df9c649ce0283de77935c5ea59821203aa8335af31b33ea3a820a90283dd49675fed21f725e7644b94a42673bd7b2d5de3d2bdcb6ca1b0d5e69ec14c0322713d5fbab667be647ba4f8b51018261302c433fcff2dcb8b84c07eff084229445d343cc5a88fed7cb94ffbdf46cf75e8b45c06f858ca06db01eda7cc54eaf004f36b1c88ae3f4c39ec4167689cb5dbbc95fde710203010001a381a030819d300c0603551d130101ff04023000303a0603551d1f04333031302fa02da02b8629687474703a2f2f7376722d6f762d63726c2e7468617774652e636f6d2f5468617774654f562e63726c301d0603551d250416301406082b0601050507030106082b06010505070302303206082b0601050507010104263024302206082b060105050730018616687474703a2f2f6f6373702e7468617774652e636f6d300d06092a864886f70d0101050500038201010032f0128f3c9acdf60f0e9fc67da29f66bfe7dd8cfd828ce19b28610280be24dfa43e13df56a22e6a38ce23e66da67e9e8afe795769be4c41bf8db47b80b1e8551e6cde97a77648cb8d53ac895478f984714bfb57890ec87d2ef0fe01bc262677737129ce69b4344e765ceb84e49ba404aba21d4c187f67f67dd22194513a025e4118424e43e73bebb654c5f258118045134dd3bc60324a56d39ec221c45c9a358d80ac5277b2882c5b3b50e2f1ad79cfbf9a7da699851123cb700300418ec3328e40a0dfbb09ab920993fc5a63c92d727730b6bf025d3a14b6f1edd919b768d135bceaff4ec030593319ee0c5b6abac01964eb388090499a6efd8c3b73c74d460004703082046c30820354a00302010202104d5f2c3408b24c20cd6d507e244dc9ec300d06092a864886f70d01010505003081a9310b300906035504061302555331153013060355040a130c7468617774652c20496e632e31283026060355040b131f43657274696669636174696f6e205365727669636573204469766973696f6e31383036060355040b132f2863292032303036207468617774652c20496e632e202d20466f7220617574686f72697a656420757365206f6e6c79311f301d06035504031316746861777465205072696d61727920526f6f74204341301e170d3130303230383030303030305a170d3230303230373233					
32	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	0	0	1420	0x000036ba	0	1	0	0	58	6	0x0000fb7a	109.0.74.75	95.136.242.99	443	65386	32	0	0	0	0	0	1	0	0	0	0	54	0x0000a58d	0	0101080a0b504608000eff52	353935395a303c310b300906035504061302555331153013060355040a130c5468617774652c20496e632e311630140603550403130d5468617774652053534c20434130820122300d06092a864886f70d01010105000382010f003082010a028201010099e4855b76497d2f05d8c5acc8c8a9d3dc98e6d734a62f0cf22226d8a3c9144c8f05a445e8140c5890051ab7c5c106a580afbb1d496b523488c359e7ef6bc427418c2b661dd0e0a3979819344b41d598d5c705ada2e4d7ed0cad4fc1b5b021fd3e5053b2c490d0d430676c9af10e74c4c2dc8ae897ffc992ae018a560a9832b00023ec901a60c3edbb3acb0f639f0d44c952e12596bfed5095897f5614b1b7611d1c078c3a2cf7ff80de3945d5af1ad178d8c7716aa319a7325021e9f20ea1c613034448d166a85257d711b4938be5999f5de77851e54df6b759b476b509374d0638137a1c08985cc4484acb52a0a9f8b19d8e7b79b0202f3c96a8116247bb110203010001a381fb3081f8303206082b0601050507010104263024302206082b060105050730018616687474703a2f2f6f6373702e7468617774652e636f6d30120603551d130101ff040830060101ff02010030340603551d1f042d302b3029a027a0258623687474703a2f2f63726c2e7468617774652e636f6d2f5468617774655043412e63726c300e0603551d0f0101ff04040302010630280603551d110421301fa41d301b3119301706035504031310566572695369676e4d504b492d322d39301d0603551d0e04160414a7a283bb3445403dfcd5304f12b93ea1019ff6db301f0603551d230418301680147b5b45cfafcecb7afd31921a6ab6f346eb574850300d06092a864886f70d01010505000382010100802280e06cc89516d7572687f37234dbc67256273ed396f62e2591a53e3397a74be52ffb257d2f0761fa6f83744c4c537220a47acf5151568188b06d1f362cc82bb18899c1fe44ab48517cd8f244642ad871a7fb1a2ff9198d34b223bfc44c551d8e44e8aa5d9add9ffd03c7ba24438d2d4744dbf6d898c8b2f9daefed295c6912fad123960fbf9c0df2794553379a562fe8571070f6ee890c49899ac123f5c22acc41cf22ab656eb794826d2f405f58deeb952ba672685219912aae759d4e92e6cade54ea18ab253ce664a6791f267d61ed7dd2e57155d893177c1438303cdf86e34cad49e39759ce1b9b2bcedc65d40b286b4e84465144f733082d589721ae00044930820445308203aea00302010202103365500879ad73e230b9e01d0d7fac91300d06092a864886f70d01010505003081ce310b3009060355040613025a41311530130603550408130c5765737465726e204361706531123010060355040713094361706520546f776e311d301b060355040a131454686177746520436f6e73756c74696e6720636331283026060355040b131f43657274696669636174696f6e205365727669636573204469766973696f6e3121301f06035504031318546861777465205072656d69756d205365727665722043413128302606092a864886f70d01090116197072656d69756d2d736572766572407468617774652e636f6d301e170d3036313131373030303030305a170d3230313233303233353935395a3081a9310b300906035504061302555331153013060355040a130c7468617774652c20496e632e31283026060355040b131f43657274696669636174696f6e205365727669636573204469766973696f6e31383036060355040b132f2863292032303036207468617774652c20496e632e202d20466f7220617574686f72697a656420757365206f6e6c79311f301d06035504031316746861777465205072696d61727920526f6f7420434130820122300d06092a864886f70d01					
33	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	52	0x000091cd	0	1	0	0	63	6	0x0000a0bf	95.136.242.99	109.0.74.75	65386	443	32	0	0	0	0	0	1	0	0	0	0	250	0x0000c534	0	0101080a000eff5d0b504608						
34	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	52	0x000091ce	0	1	0	0	63	6	0x0000a0be	95.136.242.99	109.0.74.75	65386	443	32	0	0	0	0	0	1	0	0	0	0	271	0x0000bfc7	0	0101080a000eff5d0b504608						
35	e0:a1:d7:18:c2:73	00:17:33:61:00:00	0x00008864	4	20	0	0	684	0x000036bb	0	1	0	0	58	6	0x0000fe59	109.0.74.75	95.136.242.99	443	65386	32	0	0	0	0	0	1	1	0	0	0	54	0x0000af9f	0	0101080a0b50460c000eff5d	010105000382010f003082010a0282010100aca0f0fb8059d49cc7a4cf9da159730910450c0d2c6e68f16c5b4868495937fc0b3319c2777fcc102d95341ce6eb4d09a71cd2b8c9973602b789d4245f06c0cc4494948d02626feb5add118d289a5c8490107a0dbd74662f6a38a0e2d55444eb1d079f07ba6feee9fd4e0b29f53e84a001f19cabf81c7e89a4e8a1d871650da3517beebcd222600db95b9ddfbafc515b0baf98b2e92ee904e86287de2bc8d74ec14c641eddcf8758ba4a4fca68071d1c9d4ac6d52f91cc7c71721cc5c067eb32fdc9925c94da85c09bbf537d2b09f48c9d911f976a52cbde0936a477d87b875044d53e6e2969fb3949261e09a5807b402debe82785c9fe61fd7ee67c971dd59d0203010001a381c23081bf300f0603551d130101ff040530030101ff303b0603551d200434303230300604551d20003028302606082b06010505070201161a68747470733a2f2f7777772e7468617774652e636f6d2f637073300e0603551d0f0101ff040403020106301d0603551d0e041604147b5b45cfafcecb7afd31921a6ab6f346eb57485030400603551d1f043930373035a033a031862f687474703a2f2f63726c2e7468617774652e636f6d2f5468617774655072656d69756d53657276657243412e63726c300d06092a864886f70d01010505000381810084a84cc93e2abc9ae2cc8f0bb22577c4618989635ad4a31540d4fb5e3fb443ea63172b6b99749e09a8ddd456152e7a79315f6396531b34d915ea4f6d70cabef682a9edda8577cc761c6a810a21d841997f5e2e82c1e8aaf7938105aa92b41fb79ac00717f5cbc6b44c0ed756dc71207438d674c6d68f6baf8b8da06c290b61e016030100040e000000					
36	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	52	0x000091cf	0	1	0	0	63	6	0x0000a0bd	95.136.242.99	109.0.74.75	65386	443	32	0	0	0	0	0	1	0	0	0	0	293	0x0000bd2a	0	0101080a000eff680b50460c						
37	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	366	0x000091d0	0	1	0	0	63	6	0x00009f82	95.136.242.99	109.0.74.75	65386	443	32	0	0	0	0	0	1	1	0	0	0	293	0x000046d0	0	0101080a000eff6a0b50460c	16030101061000010201001475698f502f2c776b364358d70e4330f495a25fde643ae884fd2ca865d098217edf2a996ff71504eb8292631e01d825e3cb7af566d5dc04b619559a8ed419f5cd5bc61dd87daefbcfce8bb695dd514f8a9b31c8123045bc8de11c0c82239879736c3901e934927b616aeaa6d65fbd66f6eee63f0c4941257d29f2b3ae7005947d3a27fe06f49c9d6c40a0a7ea08a9fd09f0654ba1238bf907b25d7d067998c057ae5fbd1d3f3547cc4e0d2eb9859d6479aef18cb8d30329df568e67650196b8e4df381c98117d645fb173a893540d09fc3754a851921b9d99378e030b51dacab25b18eeac91adf8aa8d9302aac24f7a1aed6e0fe3f580befc84dbcff14de378140301000101160301002448aa7d89ab61cda12a8d76d6aa864e8ccef31bf73276cb9269740a0db64b20cc956045ab					
38	00:17:33:61:00:00	e0:a1:d7:18:c2:73	0x00008864	4	20	0	0	61	0x00007308	0	1	0	0	63	17	0x0000c7a7	95.136.242.99	109.0.66.20																			65390	53	41	0x0000422a	
