frame.number	eth.dst	eth.src	eth.type	ip.version	ip.hdr_len	ip.dsfield.dscp	ip.dsfield.ecn	ip.len	ip.id	ip.flags.rb	ip.flags.df	ip.flags.mf	ip.frag_offset	ip.ttl	ip.proto	ip.checksum	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.hdr_len	tcp.flags.res	tcp.flags.ns	tcp.flags.cwr	tcp.flags.ecn	tcp.flags.urg	tcp.flags.ack	tcp.flags.push	tcp.flags.reset	tcp.flags.syn	tcp.flags.fin	tcp.window_size_value	tcp.checksum	tcp.urgent_pointer	tcp.options	tcp.payload	udp.srcport	udp.dstport	udp.length	udp.checksum	eth.padding
105	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	53	0x000016d9	0	1	0	0	64	6	0x0000a286	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	1	0	0	0	32120	0x0000bf88	0	0101080a0016123800054b8c						
106	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	53	0x000006ba	0	0	0	0	64	6	0x0000f2a5	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	1	0	0	0	17376	0x0000f91e	0	0101080a00054b8d00161238	2d					
107	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	52	0x000016da	0	1	0	0	64	6	0x0000a286	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	0	0	0	0	32120	0x0000ec8c	0	0101080a0016123a00054b8d						
108	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	53	0x000016db	0	1	0	0	64	6	0x0000a284	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	1	0	0	0	32120	0x00008b6e	0	0101080a0016124f00054b8d	61					
109	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	52	0x000072d2	0	0	0	0	64	6	0x0000868e	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	0	0	0	0	17376	0x0000260f	0	0101080a00054b8d0016124f						
110	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	53	0x00002b5b	0	0	0	0	64	6	0x0000ce04	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	1	0	0	0	17376	0x0000c505	0	0101080a00054b8d0016124f	61					
111	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	52	0x000016dc	0	1	0	0	64	6	0x0000a284	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	0	0	0	0	32120	0x0000ec73	0	0101080a0016125100054b8d						
112	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	54	0x000016dd	0	1	0	0	64	6	0x0000a281	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	1	0	0	0	32120	0x0000def4	0	0101080a001612c600054b8d	0d00					
113	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	52	0x000003b5	0	0	0	0	64	6	0x0000f5ab	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	0	0	0	0	17376	0x00002593	0	0101080a00054b8f001612c6						
114	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	54	0x0000692a	0	0	0	0	64	6	0x00009034	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	1	0	0	0	17376	0x0000187e	0	0101080a00054b90001612c6	0d0a					
