frame.number	eth.dst	eth.src	eth.type	ip.version	ip.hdr_len	ip.dsfield.dscp	ip.dsfield.ecn	ip.len	ip.id	ip.flags.rb	ip.flags.df	ip.flags.mf	ip.frag_offset	ip.ttl	ip.proto	ip.checksum	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.hdr_len	tcp.flags.res	tcp.flags.ns	tcp.flags.cwr	tcp.flags.ecn	tcp.flags.urg	tcp.flags.ack	tcp.flags.push	tcp.flags.reset	tcp.flags.syn	tcp.flags.fin	tcp.window_size_value	tcp.checksum	tcp.urgent_pointer	tcp.options	tcp.payload	udp.srcport	udp.dstport	udp.length	udp.checksum	eth.padding
43	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	76	0x0000aa2e	0	0	0	0	128	17	0x000011b5	172.31.19.54	172.31.19.73																			15937	161	56	0x000054a2	
44	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	76	0x00001a32	0	0	0	0	64	17	0x0000e1b1	172.31.19.73	172.31.19.54																			161	15937	56	0x000054a3	
45	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	190	0x0000aa2f	0	0	0	0	128	17	0x00001142	172.31.19.54	172.31.19.73																			15938	161	170	0x00004f38	
46	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	190	0x00001a33	0	0	0	0	64	17	0x0000e13e	172.31.19.73	172.31.19.54																			161	15938	170	0x00005038	
47	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	120	0x0000aa30	0	0	0	0	128	17	0x00001187	172.31.19.54	172.31.19.73																			15939	161	100	0x0000f147	
48	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	120	0x00001a34	0	0	0	0	64	17	0x0000e183	172.31.19.73	172.31.19.54																			161	15939	100	0x0000f148	
49	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	96	0x0000aa31	0	0	0	0	128	17	0x0000119e	172.31.19.54	172.31.19.73																			15940	161	76	0x00006f36	
50	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	98	0x00001a35	0	0	0	0	64	17	0x0000e198	172.31.19.73	172.31.19.54																			161	15940	78	0x00001d7e	
51	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	76	0x0000aa32	0	0	0	0	128	17	0x000011b1	172.31.19.54	172.31.19.73																			15941	161	56	0x00005298	
52	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	76	0x00001a36	0	0	0	0	64	17	0x0000e1ad	172.31.19.73	172.31.19.54																			161	15941	56	0x00005299	
53	01:00:5e:00:01:23	08:00:37:15:e6:bc	0x00000800	4	20	0	0	62	0x0000067d	0	0	0	0	1	17	0x000012a7	172.31.19.73	224.0.1.35																			1024	427	42	0x000065a4	
54	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x0000067e	0	0	0	0	64	17	0x0000f468	172.31.19.73	172.31.19.255																			137	137	108	0x0000c3f1	
55	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x0000067f	0	0	0	0	64	17	0x0000f467	172.31.19.73	172.31.19.255																			137	137	108	0x0000bdf4	
56	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000680	0	0	0	0	64	17	0x0000f466	172.31.19.73	172.31.19.255																			137	137	108	0x0000c3f3	
57	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000681	0	0	0	0	64	17	0x0000f465	172.31.19.73	172.31.19.255																			137	137	108	0x0000a5f0	
58	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000682	0	0	0	0	64	17	0x0000f464	172.31.19.73	172.31.19.255																			137	137	108	0x000033df	
59	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000683	0	0	0	0	64	17	0x0000f463	172.31.19.73	172.31.19.255																			137	137	108	0x00004fe0	
60	01:00:5e:00:01:23	08:00:37:15:e6:bc	0x00000800	4	20	0	0	62	0x00000684	0	0	0	0	1	17	0x000012a0	172.31.19.73	224.0.1.35																			1024	427	42	0x000065a4	
61	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	243	0x00000685	0	0	0	0	64	17	0x0000f3ee	172.31.19.73	172.31.19.255																			138	138	223	0x00005f8f	
62	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000686	0	0	0	0	64	17	0x0000f460	172.31.19.73	172.31.19.255																			137	137	108	0x0000c3f1	
63	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000687	0	0	0	0	64	17	0x0000f45f	172.31.19.73	172.31.19.255																			137	137	108	0x0000bdf4	
64	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000688	0	0	0	0	64	17	0x0000f45e	172.31.19.73	172.31.19.255																			137	137	108	0x0000c3f3	
65	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000689	0	0	0	0	64	17	0x0000f45d	172.31.19.73	172.31.19.255																			137	137	108	0x0000a5f0	
66	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x0000068a	0	0	0	0	64	17	0x0000f45c	172.31.19.73	172.31.19.255																			137	137	108	0x000033df	
67	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x0000068b	0	0	0	0	64	17	0x0000f45b	172.31.19.73	172.31.19.255																			137	137	108	0x00004fe0	
68	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x0000068c	0	0	0	0	64	17	0x0000f45a	172.31.19.73	172.31.19.255																			137	137	108	0x0000c3f1	
69	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x0000068d	0	0	0	0	64	17	0x0000f459	172.31.19.73	172.31.19.255																			137	137	108	0x0000bdf4	
70	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x0000068e	0	0	0	0	64	17	0x0000f458	172.31.19.73	172.31.19.255																			137	137	108	0x0000c3f3	
71	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x0000068f	0	0	0	0	64	17	0x0000f457	172.31.19.73	172.31.19.255																			137	137	108	0x0000a5f0	
72	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000690	0	0	0	0	64	17	0x0000f456	172.31.19.73	172.31.19.255																			137	137	108	0x000033df	
73	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000691	0	0	0	0	64	17	0x0000f455	172.31.19.73	172.31.19.255																			137	137	108	0x00004fe0	
74	01:00:5e:00:01:23	08:00:37:15:e6:bc	0x00000800	4	20	0	0	62	0x00000693	0	0	0	0	1	17	0x00001291	172.31.19.73	224.0.1.35																			1024	427	42	0x000065a4	
75	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000694	0	0	0	0	64	17	0x0000f452	172.31.19.73	172.31.19.255																			137	137	108	0x0000c3f1	
76	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000695	0	0	0	0	64	17	0x0000f451	172.31.19.73	172.31.19.255																			137	137	108	0x0000bdf4	
77	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000696	0	0	0	0	64	17	0x0000f450	172.31.19.73	172.31.19.255																			137	137	108	0x0000c3f3	
78	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000697	0	0	0	0	64	17	0x0000f44f	172.31.19.73	172.31.19.255																			137	137	108	0x0000a5f0	
79	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000698	0	0	0	0	64	17	0x0000f44e	172.31.19.73	172.31.19.255																			137	137	108	0x000033df	
80	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	128	0x00000699	0	0	0	0	64	17	0x0000f44d	172.31.19.73	172.31.19.255																			137	137	108	0x00004fe0	
81	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	68	0x0000aa33	0	0	0	0	128	17	0x000011b8	172.31.19.54	172.31.19.73																			15942	161	48	0x00000b71	
82	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4,4	20,20	0,0	0,0	56,68	0x0000069a,0x0000aa33	0,0	0,0	0,0	0,0	64,128	1,17	0x0000f56d,0x00000000	172.31.19.73,172.31.19.54	172.31.19.54,172.31.19.73																			15942	161	48	0x00000000	
83	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	68	0x0000aa3d	0	0	0	0	128	17	0x000011ae	172.31.19.54	172.31.19.73																			15945	161	48	0x00000b6d	
84	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4,4	20,20	0,0	0,0	56,68	0x0000069f,0x0000aa3d	0,0	0,0	0,0	0,0	64,128	1,17	0x0000f568,0x00000000	172.31.19.73,172.31.19.54	172.31.19.54,172.31.19.73																			15945	161	48	0x00000000	
85	ff:ff:ff:ff:ff:ff	08:00:37:15:e6:bc	0x00000800	4	20	0	0	221	0x000006a0	0	0	0	0	64	17	0x0000f3e9	172.31.19.73	172.31.19.255																			138	138	201	0x0000f433	
86	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	68	0x0000aab5	0	0	0	0	128	17	0x00001136	172.31.19.54	172.31.19.73																			15952	161	48	0x00000b65	
87	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	70	0x000006a5	0	0	0	0	64	17	0x0000f544	172.31.19.73	172.31.19.54																			161	15952	50	0x0000ca2a	
88	08:00:37:15:e6:bc	00:12:3f:4a:33:d2	0x00000800	4	20	0	0	68	0x0000aab6	0	0	0	0	128	17	0x00001135	172.31.19.54	172.31.19.73																			15953	161	48	0x00000c63	
89	00:12:3f:4a:33:d2	08:00:37:15:e6:bc	0x00000800	4	20	0	0	86	0x000006a6	0	0	0	0	64	17	0x0000f533	172.31.19.73	172.31.19.54																			161	15953	66	0x00007d2b	
